Time, PoorSignal, Attention, Meditation
1538404293.240, 0, 74, 37
1538404294.243, 0, 69, 35
1538404295.242, 0, 60, 34
1538404296.273, 0, 51, 43
1538404297.239, 0, 41, 40
1538404298.258, 0, 48, 54
1538404299.256, 0, 35, 50
1538404300.257, 0, 38, 53
1538404301.255, 0, 41, 43
1538404302.238, 0, 40, 50
1538404303.244, 0, 43, 51
1538404304.240, 0, 27, 43
1538404305.258, 0, 35, 54
1538404306.256, 0, 29, 47
1538404307.260, 0, 38, 54
1538404308.252, 0, 54, 51
1538404309.261, 0, 74, 53
1538404310.261, 0, 94, 40
1538404311.274, 0, 90, 26
1538404312.242, 0, 83, 43
1538404313.276, 0, 60, 40
1538404314.238, 0, 17, 35
1538404315.246, 0, 21, 37
1538404316.255, 0, 29, 23
1538404317.243, 0, 44, 37
1538404318.261, 0, 53, 37
1538404319.270, 0, 48, 30
1538404320.252, 0, 37, 21
1538404321.258, 0, 26, 8
1538404322.258, 0, 43, 20
1538404323.252, 0, 38, 40
1538404324.243, 0, 47, 57
1538404325.261, 0, 54, 56
1538404326.242, 0, 56, 53
1538404327.257, 0, 63, 50
1538404328.257, 0, 57, 48
1538404329.243, 0, 70, 48
1538404330.258, 0, 67, 53
1538404331.276, 0, 74, 51
1538404332.238, 0, 60, 35
1538404333.261, 0, 40, 20
1538404334.240, 0, 35, 16
1538404335.258, 0, 38, 13
1538404336.245, 0, 44, 27
1538404337.260, 0, 37, 41
1538404338.254, 0, 34, 38
1538404339.258, 0, 14, 29
1538404340.256, 0, 21, 23
1538404341.243, 0, 29, 43
1538404342.257, 0, 35, 50
1538404343.276, 0, 40, 64
1538404344.247, 26, 40, 64
1538404345.246, 0, 40, 63
1538404346.242, 26, 40, 63
1538404347.253, 0, 41, 48
1538404348.272, 0, 40, 51
1538404349.258, 0, 47, 40
1538404350.254, 0, 35, 40
1538404351.237, 0, 38, 43
1538404352.255, 0, 48, 47
1538404353.238, 0, 41, 57
1538404354.243, 0, 50, 57
1538404355.257, 0, 51, 57
1538404356.243, 0, 43, 53
1538404357.252, 0, 48, 44
1538404358.257, 0, 51, 47
1538404359.244, 0, 50, 37
1538404360.273, 0, 54, 38
1538404361.245, 0, 60, 41
1538404362.252, 0, 63, 47
1538404363.258, 0, 57, 60
1538404364.257, 26, 57, 60
1538404365.260, 0, 67, 57
1538404366.257, 0, 60, 57
1538404367.272, 0, 48, 57
1538404368.241, 0, 44, 54
1538404369.267, 0, 30, 56
1538404370.258, 0, 35, 57
1538404371.252, 0, 48, 56
1538404372.252, 25, 48, 56
1538404373.245, 51, 48, 56
1538404374.258, 0, 43, 48
1538404375.242, 0, 40, 44
1538404376.246, 0, 40, 50
1538404377.256, 0, 29, 56
1538404378.246, 0, 37, 75
1538404379.256, 0, 35, 74
1538404380.258, 0, 34, 77
1538404381.257, 0, 38, 67
1538404382.271, 0, 34, 80
1538404383.238, 0, 35, 80
1538404384.268, 0, 38, 70
1538404385.245, 0, 44, 70
1538404386.258, 0, 60, 54
1538404387.257, 0, 67, 66
1538404388.241, 0, 56, 70
1538404389.253, 0, 43, 57
1538404390.246, 0, 26, 63
1538404391.258, 0, 35, 60
1538404392.257, 0, 38, 41
1538404393.261, 0, 40, 54
1538404394.254, 0, 50, 56
1538404395.256, 0, 26, 54
1538404396.243, 0, 34, 70
1538404397.241, 0, 38, 75
1538404398.260, 0, 30, 70
1538404399.276, 0, 41, 70
1538404400.243, 0, 40, 69
1538404401.255, 0, 44, 77
1538404402.239, 26, 44, 77
1538404403.243, 0, 50, 75
1538404404.273, 0, 48, 70
1538404405.243, 0, 44, 56
1538404406.244, 0, 53, 47
1538404407.238, 0, 53, 44
1538404408.261, 0, 53, 57
1538404409.262, 0, 54, 75
1538404410.251, 0, 48, 75
1538404411.253, 0, 44, 83
1538404412.237, 0, 40, 63
1538404413.256, 0, 51, 61
1538404414.230, 0, 44, 70
1538404415.257, 0, 51, 69
1538404416.257, 0, 67, 84
1538404417.239, 0, 51, 74
1538404418.244, 0, 54, 77
1538404419.272, 0, 50, 74
1538404420.256, 0, 38, 53
1538404421.261, 0, 43, 61
1538404422.242, 0, 34, 56
1538404423.253, 0, 29, 44
1538404424.243, 0, 20, 64
1538404425.257, 0, 27, 66
1538404426.242, 0, 38, 66
1538404427.242, 0, 43, 75
1538404428.246, 0, 54, 66
1538404429.272, 0, 48, 67
1538404430.258, 0, 44, 75
1538404431.253, 0, 47, 70
1538404432.239, 0, 44, 78
1538404433.258, 0, 53, 63
1538404434.237, 0, 56, 48
1538404435.261, 0, 57, 54
1538404436.245, 0, 56, 44
1538404437.259, 0, 43, 43
1538404438.254, 0, 41, 47
1538404439.238, 0, 37, 38
1538404440.272, 0, 40, 47
1538404441.256, 0, 37, 63
1538404442.259, 0, 38, 66
1538404443.254, 0, 29, 64
1538404444.241, 0, 37, 54
1538404445.243, 0, 47, 47
1538404446.241, 0, 35, 44
1538404447.242, 0, 40, 53
1538404448.257, 0, 37, 60
1538404449.241, 0, 40, 61
1538404450.254, 0, 47, 53
1538404451.259, 0, 51, 44
1538404452.253, 0, 47, 38
1538404453.258, 0, 29, 38
1538404454.237, 0, 27, 41
1538404455.276, 0, 27, 47
1538404456.237, 0, 26, 56
1538404457.245, 0, 41, 57
1538404458.257, 0, 47, 66
1538404459.246, 0, 41, 53
1538404460.257, 0, 51, 57
1538404461.238, 0, 48, 54
1538404462.253, 0, 44, 53
1538404463.261, 0, 38, 81
1538404464.245, 0, 35, 75
1538404465.257, 0, 35, 80
1538404466.253, 26, 35, 80
1538404467.242, 0, 27, 74
1538404468.257, 0, 27, 57
1538404469.245, 26, 27, 57
1538404470.270, 26, 27, 57
1538404471.244, 0, 24, 53
1538404472.258, 0, 26, 60
1538404473.246, 0, 30, 61
1538404474.238, 0, 30, 70
1538404475.257, 0, 41, 78
1538404476.246, 0, 38, 77
1538404477.258, 0, 40, 70
1538404478.237, 0, 43, 63
1538404479.261, 26, 43, 63
1538404480.255, 0, 38, 57
1538404481.254, 0, 54, 53
1538404482.258, 0, 64, 66
1538404483.243, 26, 64, 66
1538404484.252, 0, 70, 69
1538404485.247, 26, 70, 69
1538404486.240, 0, 64, 67
1538404487.245, 0, 51, 61
1538404488.240, 0, 44, 63
1538404489.260, 0, 44, 51
1538404490.272, 0, 48, 54
1538404491.252, 26, 48, 54
1538404492.272, 0, 51, 54
1538404493.237, 0, 43, 47
1538404494.259, 0, 48, 54
1538404495.243, 0, 54, 56
1538404496.253, 0, 63, 66
1538404497.241, 0, 75, 75
1538404498.257, 0, 64, 70
1538404499.252, 0, 64, 67
1538404500.269, 0, 63, 61
1538404501.245, 0, 61, 61
1538404502.272, 0, 56, 67
1538404503.237, 0, 64, 66
1538404504.255, 0, 60, 69
1538404505.240, 0, 60, 69
1538404506.259, 0, 70, 54
1538404507.239, 0, 53, 50
1538404508.246, 0, 53, 48
1538404509.251, 0, 54, 48
1538404510.238, 0, 44, 44
1538404511.252, 0, 51, 50
1538404512.274, 0, 50, 47
